268.5771 	DATA 	Keypress: equal
268.7828 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=3
268.7928 	EXP 	feedback
269.5770 	DATA 	Keypress: equal
270.5771 	DATA 	Keypress: equal
270.8014 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
271.5280 	DATA 	Keypress: 1
271.5349 	EXP 	stim select
271.5771 	DATA 	Keypress: equal
272.5773 	DATA 	Keypress: equal
272.8015 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=4
272.8015 	EXP 	Hampton2006: Reversal
272.8117 	EXP 	feedback
273.5773 	DATA 	Keypress: equal
274.5772 	DATA 	Keypress: equal
275.5772 	DATA 	Keypress: equal
275.8227 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
276.2841 	DATA 	Keypress: 2
276.2894 	EXP 	stim select
276.5772 	DATA 	Keypress: equal
276.8229 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
276.8298 	EXP 	feedback
277.5771 	DATA 	Keypress: equal
278.5771 	DATA 	Keypress: equal
279.5770 	DATA 	Keypress: equal
279.8423 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
280.4475 	DATA 	Keypress: 1
280.4589 	EXP 	stim select
280.5775 	DATA 	Keypress: equal
281.5762 	DATA 	Keypress: equal
282.5781 	DATA 	Keypress: equal
282.8425 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
282.8614 	EXP 	feedback
283.5763 	DATA 	Keypress: equal
284.5762 	DATA 	Keypress: equal
284.8674 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
285.5760 	DATA 	Keypress: equal
285.8804 	EXP 	no response
286.5762 	DATA 	Keypress: equal
287.5759 	DATA 	Keypress: equal
287.8855 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
288.5760 	DATA 	Keypress: equal
289.1230 	DATA 	Keypress: 2
289.1324 	EXP 	stim select
289.5761 	DATA 	Keypress: equal
289.8856 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=0
289.9005 	EXP 	feedback
290.5763 	DATA 	Keypress: equal
291.5761 	DATA 	Keypress: equal
292.5762 	DATA 	Keypress: equal
292.9042 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
293.5764 	DATA 	Keypress: equal
293.6342 	DATA 	Keypress: 2
293.6529 	EXP 	stim select
294.5762 	DATA 	Keypress: equal
294.9046 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=1
294.9213 	EXP 	feedback
295.5762 	DATA 	Keypress: equal
296.5766 	DATA 	Keypress: equal
297.5764 	DATA 	Keypress: equal
297.9396 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
298.4923 	DATA 	Keypress: 2
298.5066 	EXP 	stim select
298.5759 	DATA 	Keypress: equal
298.9398 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=2
298.9573 	EXP 	feedback
299.5765 	DATA 	Keypress: equal
300.5764 	DATA 	Keypress: equal
300.9751 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
301.5766 	DATA 	Keypress: equal
301.6735 	DATA 	Keypress: 1
301.6921 	EXP 	stim select
302.5765 	DATA 	Keypress: equal
303.5762 	DATA 	Keypress: equal
303.9753 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=3
303.9928 	EXP 	feedback
304.5766 	DATA 	Keypress: equal
305.5763 	DATA 	Keypress: equal
306.5763 	DATA 	Keypress: equal
307.0116 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
307.5651 	DATA 	Keypress: 2
307.5788 	EXP 	stim select
307.5820 	DATA 	Keypress: equal
308.0118 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=4
308.0294 	EXP 	feedback
308.5751 	DATA 	Keypress: equal
309.5751 	DATA 	Keypress: equal
310.0467 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
310.5750 	DATA 	Keypress: equal
311.4915 	DATA 	Keypress: 2
311.4967 	EXP 	stim select
311.5752 	DATA 	Keypress: equal
312.0469 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=4
312.0637 	EXP 	feedback
312.5763 	DATA 	Keypress: equal
313.5755 	DATA 	Keypress: equal
314.5754 	DATA 	Keypress: equal
315.0700 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
315.5754 	DATA 	Keypress: equal
316.1183 	DATA 	Keypress: 2
316.1329 	EXP 	stim select
316.5755 	DATA 	Keypress: equal
317.0704 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=4
317.0704 	EXP 	Hampton2006: Reversal
317.0825 	EXP 	feedback
317.5751 	DATA 	Keypress: equal
318.5751 	DATA 	Keypress: equal
319.5754 	DATA 	Keypress: equal
320.5752 	DATA 	Keypress: equal
321.0913 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
321.5751 	DATA 	Keypress: equal
321.5985 	DATA 	Keypress: 2
321.6085 	EXP 	stim select
322.5750 	DATA 	Keypress: equal
323.0914 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=1
323.1023 	EXP 	feedback
